Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 3 files:   0%|          | 0/3 [00:00<?, ?it/s]Fetching 3 files: 100%|██████████| 3/3 [00:00<00:00, 77195.78it/s]
Loading weights:   0%|          | 0/179 [00:00<?, ?it/s]Loading weights:   2%|▏         | 4/179 [00:00<00:06, 28.89it/s]Loading weights:   9%|▉         | 16/179 [00:00<00:02, 64.90it/s]Loading weights:  21%|██        | 38/179 [00:00<00:01, 114.34it/s]Loading weights:  34%|███▎      | 60/179 [00:00<00:00, 130.28it/s]Loading weights:  46%|████▌     | 82/179 [00:00<00:00, 145.53it/s]Loading weights:  58%|█████▊    | 104/179 [00:00<00:00, 154.72it/s]Loading weights:  70%|███████   | 126/179 [00:00<00:00, 160.02it/s]Loading weights:  80%|███████▉  | 143/179 [00:01<00:00, 87.28it/s] Loading weights:  88%|████████▊ | 158/179 [00:01<00:00, 85.18it/s]Loading weights:  95%|█████████▍| 170/179 [00:01<00:00, 88.48it/s]Loading weights: 100%|██████████| 179/179 [00:01<00:00, 108.36it/s]
mode=joint lambda_pred=0.0 horizons=(1, 2, 4) | trainable 11.7M / 7.05B
step  2640 | lm 2.155 | pred 4.275 | 1246 tok/s
step  2660 | lm 3.271 | pred 4.289 | 1246 tok/s
step  2680 | lm 3.099 | pred 4.276 | 1246 tok/s
step  2700 | lm 2.044 | pred 4.278 | 1246 tok/s
step  2720 | lm 2.317 | pred 4.281 | 1246 tok/s
step  2740 | lm 2.206 | pred 4.278 | 1246 tok/s
step  2760 | lm 2.394 | pred 4.270 | 1246 tok/s
step  2780 | lm 2.500 | pred 4.278 | 1246 tok/s
step  2800 | lm 2.335 | pred 4.282 | 1246 tok/s
step  2820 | lm 2.416 | pred 4.277 | 1246 tok/s
step  2840 | lm 2.224 | pred 4.278 | 1247 tok/s
step  2860 | lm 2.118 | pred 4.280 | 1247 tok/s
step  2880 | lm 2.608 | pred 4.283 | 1247 tok/s
step  2900 | lm 2.185 | pred 4.278 | 1247 tok/s
step  2920 | lm 2.144 | pred 4.277 | 1247 tok/s
step  2940 | lm 2.137 | pred 4.277 | 1247 tok/s
step  2960 | lm 2.156 | pred 4.277 | 1247 tok/s
step  2980 | lm 2.433 | pred 4.278 | 1247 tok/s
  eval step 3000: lm 2.115 pred 4.278 hit@k [h1: 0.125 | h2: 0.124 | h4: 0.126] | ent 3.746 persist 0.125 util_max 0.055
step  3000 | lm 2.560 | pred 4.279 | 1243 tok/s
step  3020 | lm 2.038 | pred 4.277 | 1243 tok/s
step  3040 | lm 2.657 | pred 4.271 | 1244 tok/s
step  3060 | lm 1.896 | pred 4.274 | 1244 tok/s
step  3080 | lm 2.414 | pred 4.277 | 1244 tok/s
step  3100 | lm 2.344 | pred 4.279 | 1244 tok/s
step  3120 | lm 2.032 | pred 4.279 | 1244 tok/s
step  3140 | lm 2.518 | pred 4.276 | 1244 tok/s
step  3160 | lm 2.096 | pred 4.276 | 1244 tok/s
step  3180 | lm 2.524 | pred 4.274 | 1244 tok/s
step  3200 | lm 2.131 | pred 4.279 | 1244 tok/s
step  3220 | lm 2.720 | pred 4.278 | 1244 tok/s
step  3240 | lm 2.864 | pred 4.271 | 1244 tok/s
step  3260 | lm 2.796 | pred 4.274 | 1244 tok/s
step  3280 | lm 2.570 | pred 4.274 | 1244 tok/s
step  3300 | lm 2.571 | pred 4.277 | 1244 tok/s
step  3320 | lm 2.645 | pred 4.280 | 1244 tok/s
step  3340 | lm 2.184 | pred 4.276 | 1245 tok/s
step  3360 | lm 2.434 | pred 4.280 | 1245 tok/s
step  3380 | lm 2.111 | pred 4.280 | 1245 tok/s
step  3400 | lm 2.134 | pred 4.279 | 1245 tok/s
step  3420 | lm 1.991 | pred 4.278 | 1245 tok/s
step  3440 | lm 2.125 | pred 4.280 | 1245 tok/s
step  3460 | lm 2.394 | pred 4.275 | 1245 tok/s
step  3480 | lm 2.200 | pred 4.279 | 1245 tok/s
step  3500 | lm 2.505 | pred 4.274 | 1245 tok/s
step  3520 | lm 2.453 | pred 4.281 | 1245 tok/s
step  3540 | lm 2.224 | pred 4.278 | 1245 tok/s
step  3560 | lm 2.748 | pred 4.277 | 1245 tok/s
step  3580 | lm 2.095 | pred 4.276 | 1245 tok/s
step  3600 | lm 2.200 | pred 4.277 | 1245 tok/s
step  3620 | lm 2.287 | pred 4.275 | 1245 tok/s
step  3640 | lm 2.312 | pred 4.276 | 1245 tok/s
step  3660 | lm 1.632 | pred 4.282 | 1245 tok/s
