params: 341M total / 99M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  3800 | lm 5.688 | pred 2.868 | 5064 tok/s
step  3820 | lm 5.613 | pred 2.870 | 5065 tok/s
step  3840 | lm 6.123 | pred 2.869 | 5065 tok/s
step  3860 | lm 5.958 | pred 2.868 | 5065 tok/s
step  3880 | lm 5.821 | pred 2.868 | 5066 tok/s
step  3900 | lm 6.197 | pred 2.868 | 5066 tok/s
step  3920 | lm 5.876 | pred 2.868 | 5066 tok/s
step  3940 | lm 5.773 | pred 2.867 | 5067 tok/s
step  3960 | lm 7.057 | pred 2.862 | 5067 tok/s
step  3980 | lm 5.556 | pred 2.866 | 5067 tok/s
  eval step 4000: lm 5.864 pred 2.866 hit@k [h1: 0.122 | h2: 0.125 | h4: 0.124] | ent 2.280 persist 0.134 util_max 0.109
step  4000 | lm 5.942 | pred 2.866 | 5060 tok/s
step  4020 | lm 5.786 | pred 2.868 | 5060 tok/s
step  4040 | lm 5.845 | pred 2.865 | 5060 tok/s
step  4060 | lm 5.717 | pred 2.870 | 5061 tok/s
step  4080 | lm 5.446 | pred 2.868 | 5061 tok/s
step  4100 | lm 5.955 | pred 2.866 | 5061 tok/s
step  4120 | lm 5.660 | pred 2.870 | 5062 tok/s
step  4140 | lm 5.719 | pred 2.867 | 5062 tok/s
step  4160 | lm 5.899 | pred 2.869 | 5062 tok/s
step  4180 | lm 6.058 | pred 2.869 | 5062 tok/s
step  4200 | lm 5.851 | pred 2.868 | 5063 tok/s
step  4220 | lm 6.351 | pred 2.861 | 5063 tok/s
step  4240 | lm 5.784 | pred 2.865 | 5063 tok/s
step  4260 | lm 5.792 | pred 2.864 | 5064 tok/s
step  4280 | lm 5.630 | pred 2.869 | 5064 tok/s
step  4300 | lm 5.796 | pred 2.862 | 5064 tok/s
step  4320 | lm 5.852 | pred 2.864 | 5065 tok/s
step  4340 | lm 5.745 | pred 2.868 | 5065 tok/s
step  4360 | lm 5.837 | pred 2.869 | 5065 tok/s
step  4380 | lm 5.611 | pred 2.867 | 5065 tok/s
step  4400 | lm 5.651 | pred 2.868 | 5065 tok/s
step  4420 | lm 5.845 | pred 2.867 | 5065 tok/s
step  4440 | lm 5.851 | pred 2.869 | 5066 tok/s
step  4460 | lm 5.556 | pred 2.869 | 5066 tok/s
step  4480 | lm 6.083 | pred 2.865 | 5066 tok/s
  eval step 4500: lm 5.811 pred 2.866 hit@k [h1: 0.122 | h2: 0.125 | h4: 0.123] | ent 2.272 persist 0.133 util_max 0.109
step  4500 | lm 5.628 | pred 2.866 | 5060 tok/s
step  4520 | lm 5.875 | pred 2.867 | 5060 tok/s
step  4540 | lm 5.740 | pred 2.864 | 5060 tok/s
step  4560 | lm 5.740 | pred 2.866 | 5061 tok/s
step  4580 | lm 5.746 | pred 2.867 | 5061 tok/s
step  4600 | lm 5.659 | pred 2.867 | 5061 tok/s
step  4620 | lm 5.134 | pred 2.869 | 5061 tok/s
step  4640 | lm 6.324 | pred 2.866 | 5062 tok/s
step  4660 | lm 5.791 | pred 2.866 | 5062 tok/s
step  4680 | lm 5.533 | pred 2.867 | 5062 tok/s
step  4700 | lm 5.403 | pred 2.867 | 5063 tok/s
step  4720 | lm 5.933 | pred 2.865 | 5063 tok/s
step  4740 | lm 5.785 | pred 2.868 | 5063 tok/s
step  4760 | lm 5.742 | pred 2.868 | 5063 tok/s
step  4780 | lm 5.306 | pred 2.867 | 5063 tok/s
step  4800 | lm 5.942 | pred 2.867 | 5064 tok/s
step  4820 | lm 5.731 | pred 2.866 | 5064 tok/s
step  4840 | lm 5.689 | pred 2.868 | 5064 tok/s
step  4860 | lm 4.599 | pred 2.869 | 5065 tok/s
step  4880 | lm 5.390 | pred 2.869 | 5065 tok/s
step  4900 | lm 5.063 | pred 2.870 | 5065 tok/s
step  4920 | lm 5.883 | pred 2.866 | 5065 tok/s
step  4940 | lm 5.437 | pred 2.868 | 5066 tok/s
step  4960 | lm 6.113 | pred 2.863 | 5066 tok/s
step  4980 | lm 5.618 | pred 2.867 | 5066 tok/s
  eval step 5000: lm 5.778 pred 2.867 hit@k [h1: 0.122 | h2: 0.125 | h4: 0.123] | ent 2.264 persist 0.133 util_max 0.108
step  5000 | lm 5.595 | pred 2.870 | 5060 tok/s
step  5020 | lm 5.141 | pred 2.868 | 5061 tok/s
step  5040 | lm 5.666 | pred 2.869 | 5061 tok/s
step  5060 | lm 6.493 | pred 2.868 | 5061 tok/s
step  5080 | lm 5.838 | pred 2.870 | 5061 tok/s
step  5100 | lm 5.871 | pred 2.870 | 5061 tok/s
step  5120 | lm 5.240 | pred 2.871 | 5062 tok/s
step  5140 | lm 5.965 | pred 2.866 | 5062 tok/s
step  5160 | lm 5.565 | pred 2.870 | 5062 tok/s
step  5180 | lm 6.509 | pred 2.860 | 5062 tok/s
step  5200 | lm 5.597 | pred 2.867 | 5062 tok/s
step  5220 | lm 5.694 | pred 2.866 | 5063 tok/s
step  5240 | lm 5.683 | pred 2.870 | 5063 tok/s
step  5260 | lm 5.801 | pred 2.865 | 5063 tok/s
step  5280 | lm 5.812 | pred 2.866 | 5063 tok/s
step  5300 | lm 5.638 | pred 2.870 | 5064 tok/s
step  5320 | lm 6.253 | pred 2.865 | 5064 tok/s
step  5340 | lm 5.585 | pred 2.866 | 5064 tok/s
step  5360 | lm 5.853 | pred 2.868 | 5064 tok/s
