params: 94M total / 56M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  4540 | lm 6.023 | pred 2.128 | 19452 tok/s
step  4560 | lm 6.566 | pred 2.128 | 19453 tok/s
step  4580 | lm 5.884 | pred 2.132 | 19454 tok/s
step  4600 | lm 5.873 | pred 2.132 | 19455 tok/s
step  4620 | lm 5.972 | pred 2.127 | 19457 tok/s
step  4640 | lm 5.848 | pred 2.131 | 19458 tok/s
step  4660 | lm 6.042 | pred 2.131 | 19460 tok/s
step  4680 | lm 5.767 | pred 2.130 | 19461 tok/s
step  4700 | lm 6.037 | pred 2.132 | 19463 tok/s
step  4720 | lm 6.978 | pred 2.135 | 19464 tok/s
step  4740 | lm 5.988 | pred 2.131 | 19465 tok/s
step  4760 | lm 6.157 | pred 2.127 | 19467 tok/s
step  4780 | lm 5.849 | pred 2.127 | 19468 tok/s
step  4800 | lm 5.603 | pred 2.130 | 19470 tok/s
step  4820 | lm 5.803 | pred 2.131 | 19471 tok/s
step  4840 | lm 5.672 | pred 2.130 | 19472 tok/s
step  4860 | lm 6.539 | pred 2.128 | 19474 tok/s
step  4880 | lm 5.955 | pred 2.129 | 19475 tok/s
step  4900 | lm 5.585 | pred 2.131 | 19476 tok/s
step  4920 | lm 5.794 | pred 2.131 | 19477 tok/s
step  4940 | lm 5.914 | pred 2.132 | 19479 tok/s
step  4960 | lm 5.896 | pred 2.131 | 19480 tok/s
step  4980 | lm 5.726 | pred 2.130 | 19482 tok/s
  eval step 5000: lm 5.915 pred 2.130 hit@k [h1: 0.258 | h2: 0.262 | h4: 0.247]
step  5000 | lm 6.184 | pred 2.131 | 19469 tok/s
step  5020 | lm 6.350 | pred 2.128 | 19470 tok/s
step  5040 | lm 5.408 | pred 2.131 | 19471 tok/s
step  5060 | lm 6.233 | pred 2.127 | 19472 tok/s
step  5080 | lm 5.592 | pred 2.131 | 19473 tok/s
step  5100 | lm 6.248 | pred 2.124 | 19475 tok/s
step  5120 | lm 5.839 | pred 2.131 | 19476 tok/s
step  5140 | lm 6.930 | pred 2.124 | 19477 tok/s
step  5160 | lm 5.742 | pred 2.131 | 19478 tok/s
step  5180 | lm 5.740 | pred 2.131 | 19479 tok/s
step  5200 | lm 5.591 | pred 2.131 | 19480 tok/s
step  5220 | lm 5.412 | pred 2.128 | 19480 tok/s
step  5240 | lm 6.409 | pred 2.132 | 19480 tok/s
step  5260 | lm 5.923 | pred 2.130 | 19480 tok/s
step  5280 | lm 5.760 | pred 2.130 | 19481 tok/s
step  5300 | lm 5.572 | pred 2.134 | 19482 tok/s
step  5320 | lm 5.872 | pred 2.133 | 19483 tok/s
step  5340 | lm 6.073 | pred 2.130 | 19484 tok/s
step  5360 | lm 5.892 | pred 2.131 | 19485 tok/s
step  5380 | lm 5.928 | pred 2.130 | 19486 tok/s
step  5400 | lm 5.974 | pred 2.131 | 19487 tok/s
step  5420 | lm 6.385 | pred 2.131 | 19488 tok/s
step  5440 | lm 5.671 | pred 2.129 | 19489 tok/s
step  5460 | lm 5.925 | pred 2.129 | 19489 tok/s
step  5480 | lm 6.045 | pred 2.130 | 19490 tok/s
  eval step 5500: lm 6.193 pred 2.130 hit@k [h1: 0.254 | h2: 0.265 | h4: 0.251]
step  5500 | lm 5.641 | pred 2.130 | 19478 tok/s
step  5520 | lm 5.929 | pred 2.129 | 19479 tok/s
step  5540 | lm 5.797 | pred 2.129 | 19480 tok/s
step  5560 | lm 5.926 | pred 2.130 | 19482 tok/s
step  5580 | lm 6.069 | pred 2.127 | 19483 tok/s
step  5600 | lm 5.191 | pred 2.132 | 19484 tok/s
step  5620 | lm 5.947 | pred 2.131 | 19485 tok/s
step  5640 | lm 5.786 | pred 2.129 | 19486 tok/s
step  5660 | lm 6.001 | pred 2.128 | 19487 tok/s
step  5680 | lm 5.847 | pred 2.131 | 19488 tok/s
step  5700 | lm 5.744 | pred 2.132 | 19489 tok/s
step  5720 | lm 5.828 | pred 2.131 | 19490 tok/s
