params: 94M total / 56M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  5120 | lm 6.484 | pred 2.126 | 19730 tok/s
step  5140 | lm 6.208 | pred 2.135 | 19732 tok/s
step  5160 | lm 5.741 | pred 2.136 | 19734 tok/s
step  5180 | lm 6.119 | pred 2.137 | 19736 tok/s
step  5200 | lm 5.840 | pred 2.139 | 19737 tok/s
step  5220 | lm 6.061 | pred 2.136 | 19739 tok/s
step  5240 | lm 5.956 | pred 2.135 | 19741 tok/s
  eval step 5250: lm 5.815 pred 2.135 hit@k [h1: 0.251]
step  5260 | lm 5.947 | pred 2.139 | 19729 tok/s
step  5280 | lm 6.039 | pred 2.134 | 19731 tok/s
step  5300 | lm 6.240 | pred 2.137 | 19732 tok/s
step  5320 | lm 5.789 | pred 2.134 | 19734 tok/s
step  5340 | lm 6.210 | pred 2.136 | 19735 tok/s
step  5360 | lm 5.925 | pred 2.139 | 19736 tok/s
step  5380 | lm 6.873 | pred 2.138 | 19737 tok/s
step  5400 | lm 6.181 | pred 2.138 | 19737 tok/s
step  5420 | lm 5.940 | pred 2.141 | 19737 tok/s
step  5440 | lm 6.672 | pred 2.135 | 19739 tok/s
step  5460 | lm 6.060 | pred 2.138 | 19741 tok/s
step  5480 | lm 5.979 | pred 2.134 | 19742 tok/s
  eval step 5500: lm 5.835 pred 2.135 hit@k [h1: 0.256]
step  5500 | lm 5.449 | pred 2.135 | 19730 tok/s
step  5520 | lm 5.988 | pred 2.141 | 19732 tok/s
step  5540 | lm 5.713 | pred 2.135 | 19733 tok/s
step  5560 | lm 5.659 | pred 2.136 | 19735 tok/s
step  5580 | lm 5.546 | pred 2.136 | 19737 tok/s
step  5600 | lm 6.265 | pred 2.138 | 19738 tok/s
step  5620 | lm 5.652 | pred 2.139 | 19740 tok/s
step  5640 | lm 5.829 | pred 2.135 | 19741 tok/s
step  5660 | lm 5.772 | pred 2.136 | 19743 tok/s
step  5680 | lm 5.905 | pred 2.139 | 19745 tok/s
step  5700 | lm 5.629 | pred 2.135 | 19746 tok/s
step  5720 | lm 5.925 | pred 2.136 | 19748 tok/s
step  5740 | lm 6.018 | pred 2.135 | 19749 tok/s
  eval step 5750: lm 5.972 pred 2.136 hit@k [h1: 0.253]
step  5760 | lm 5.529 | pred 2.137 | 19738 tok/s
step  5780 | lm 6.189 | pred 2.137 | 19739 tok/s
step  5800 | lm 5.953 | pred 2.138 | 19741 tok/s
step  5820 | lm 6.152 | pred 2.137 | 19743 tok/s
step  5840 | lm 5.634 | pred 2.140 | 19744 tok/s
step  5860 | lm 5.705 | pred 2.137 | 19746 tok/s
step  5880 | lm 5.473 | pred 2.132 | 19747 tok/s
step  5900 | lm 5.908 | pred 2.138 | 19749 tok/s
step  5920 | lm 6.448 | pred 2.136 | 19750 tok/s
step  5940 | lm 6.342 | pred 2.129 | 19752 tok/s
step  5960 | lm 5.885 | pred 2.130 | 19753 tok/s
step  5980 | lm 5.696 | pred 2.136 | 19755 tok/s
  eval step 6000: lm 5.942 pred 2.137 hit@k [h1: 0.254]
saved ckpt_tierB_base.pt
terminate called without an active exception
